id,STREET_NAME,NODE_FROM,NODE_TO,DISTRICT,DISTANCE,SPEED,TRAVEL_TIME,STREET_TYPE,AREA_FROM,AREA_TO
"(10344729, 10343704)",Vegagasse,10344729,10343704,19,186.333072195854,30,22.359968663502478,local-street,0579,0579
"(10352552, 18813768)",Lilienthalgasse,10352552,18813768,03,33.15864391835,30,3.9790372702020003,local-street,0986,1231
"(10356508, 10356511)",Rodauner Straße,10356508,10356511,23,89.513448546591,50,6.444968295354552,main-street,0366,0196
"(10344022, 10344021)",Argonautenstraße,10344022,10344021,22,25.859337235622,30,3.10312046827464,local-street,0051,0051
"(10350154, 10350155)",Landstraßer Hauptstraße,10350154,10350155,03,76.984252904815,50,5.54286620914668,main-street,0585,0585
"(10347371, 10347396)",Unbenannte Verkehrsfläche,10347371,10347396,16,33.493256666879,30,4.019190800025481,local-street,0461,1293
"(10352423, 10352412)",Wimmergasse,10352423,10352412,05,128.798413464744,30,15.45580961576928,local-street,0794,0794
"(10346386, 10471288)",Obere Augartenstraße,10346386,10471288,02,91.060553556754,50,6.556359856086288,main-street,0350,0350
"(10341639, 10341640)",Kosselgasse,10341639,10341640,19,95.20858511294,30,11.425030213552802,local-street,1134,1134
"(10349031, 18817070)",Johann-Schorsch-Gasse,10349031,18817070,14,92.161286384663,30,11.05935436615956,local-street,1322,1322
"(10344516, 10344492)",Schrammelgasse,10344516,10344492,17,45.693963995701,30,5.4832756794841195,local-street,0983,0983
"(10350002, 10349918)",Schellinggasse,10350002,10349918,01,96.669698031897,30,11.60036376382764,local-street,1018,1019
"(10347803, 10347794)",Yppenplatz,10347803,10347794,16,81.4804312025,30,9.777651744300002,local-street,0004,0004
"(10346297, 10346296)",Michelbeuerngasse,10346297,10346296,09,98.163538660063,30,11.77962463920756,local-street,0648,0608
"(10339629, 10339627)",Oskar-Czeija-Gasse,10339629,10339627,21,121.068941827762,30,14.528273019331442,local-street,0287,0287
"(10348297, 10348180)",Kleeblattgasse,10348297,10348180,01,143.738077117229,30,17.248569254067483,local-street,0489,0489
"(10347704, 10347686)",Lindauergasse,10347704,10347686,16,71.568275984834,30,8.588193118180081,local-street,0791,1259
"(10351253, 10351188)",Sandwirtgasse,10351253,10351188,06,145.232658374189,30,17.42791900490268,local-street,0943,0618
"(10344251, 10344252)",Am Friedhof,10344251,10344252,22,167.417553645788,30,20.090106437494562,local-street,0003,1050
"(10356750, 10356751)",Erlaaer Straße,10356750,10356751,23,93.928268892093,30,11.271392267051159,local-street,0767,0767
"(10346232, 10346231)",Fuchsthallergasse,10346232,10346231,09,49.667768905664,50,3.576079361207808,main-street,0142,0666
"(18889907, 18889915)",Leberstraße,18889907,18889915,03,17.408780135661,50,1.2534321697675923,main-street,0153,0153
"(10344801, 10344776)",Köhlergasse,10344801,10344776,18,96.717098191165,30,11.6060517829398,local-street,0604,0604
"(10344070, 10344072)",Hovenweg,10344070,10344072,22,70.39603457987,30,8.447524149584401,local-street,0400,0400
"(10340745, 10340746)",Neudorfergasse,10340745,10340746,21,79.998266896522,30,9.599792027582641,local-street,1354,1354
"(10346613, 10346665)",Wehlistraße,10346613,10346665,02,104.628928636011,30,12.55547143632132,local-street,0650,0650
"(10343978, 10343977)",Donauturmstraße,10343978,10343977,21,54.536085029203,30,6.54433020350436,local-street,0599,0836
"(10348066, 10348065)",Herrengasse,10348066,10348065,01,149.781396934044,50,10.784260579251168,main-street,1210,1210
"(10342983, 10342988)",Warhanekgasse,10342983,10342988,21,76.890768279307,30,9.22689219351684,local-street,0836,0836
"(10353210, 10353211)",Köglergasse,10353210,10353211,12,239.279089125195,50,17.228094417014038,main-street,1218,0369
"(10356063, 10356070)",Rossakgasse,10356063,10356070,23,89.293111865698,30,10.715173423883758,local-street,1082,1082
"(10344661, 10344660)",Herbeckstraße,10344661,10344660,18,123.310066984123,50,8.878324822856857,main-street,0406,0610
"(10350641, 10350642)",Käthe-Dorsch-Gasse,10350641,10350642,14,67.476532641136,30,8.09718391693632,local-street,1284,1284
"(18985087, 10356754)",Carlbergergasse,18985087,10356754,23,74.78503457431,50,5.38452248935032,main-street,0417,0417
"(10341128, 10341151)",Rappgasse,10341128,10341151,21,165.963479968326,30,19.915617596199123,local-street,0136,0601
"(18888009, 10345178)",Mexikoplatz,18888009,10345178,02,142.743634483521,30,17.129236138022517,local-street,1200,1200
"(10351544, 10351545)",Hegergasse,10351544,10351545,03,71.568443564589,30,8.58821322775068,local-street,0909,0909
"(10343105, 10343082)",Klenaugasse,10343105,10343082,22,82.940445089477,30,9.95285341073724,local-street,1099,1099
"(10444119, 10345579)",Heidestraße,10444119,10345579,14,340.503324514844,30,40.86039894178128,local-street,0404,0404
"(10371870, 10371868)",Jakob-Kern-Weg,10371870,10371868,14,104.533932116773,30,12.54407185401276,local-street,0267,0267
"(10349947, 10349946)",Grünangergasse,10349947,10349946,01,40.819080659571,30,4.898289679148521,local-street,0862,0887
"(18798135, 10343186)",Forstnergasse,18798135,10343186,22,52.903166019842,50,3.8090279534286235,main-street,0504,0504
"(10342711, 10342648)",Saarplatz,10342711,10342648,19,120.395582385249,30,14.447469886229879,local-street,0600,0600
"(10353039, 10353038)",Pohlgasse,10353039,10353038,12,70.085111918279,30,8.410213430193478,local-street,1001,1001
"(10340204, 10340203)",Strebersdorfer Straße,10340204,10340203,21,24.556746801573,50,1.768085769713256,main-street,1128,1128
"(10354649, 10354650)",Herbortgasse,10354649,10354650,11,216.811110737568,30,26.01733328850816,local-street,0170,0326
"(10350572, 10350587)",Auhofstraße,10350572,10350587,13,223.254040918951,30,26.790484910274117,local-street,1350,1350
"(10354326, 10354294)",Oswaldgasse,10354326,10354294,12,35.073458939384,30,4.20881507272608,local-street,0086,0086
"(18880167, 10353177)",Pinaglgasse,18880167,10353177,12,49.943485982,30,5.993218317839999,local-street,0999,0999
"(10356513, 10356514)",Willergasse,10356513,10356514,23,38.801176670755,30,4.656141200490599,local-street,0196,0196
"(10355127, 18844306)",Kirchfeldgasse,10355127,18844306,12,61.659139319597,50,4.439458031010984,main-street,0311,0311
"(10357321, 10357421)",Anton-Freunschlag-Gasse,10357321,10357421,23,194.416138444563,30,23.329936613347563,local-street,0869,0952
"(10339796, 10339794)",Friedrich-Manhart-Straße,10339796,10339794,21,113.189683089538,30,13.58276197074456,local-street,0007,0007
"(10356019, 10356036)",Schwarzenhaidestraße,10356019,10356036,23,275.105329726357,30,33.012639567162836,local-street,1046,1046
"(10347482, 10347545)",Rankgasse,10347482,10347545,16,90.335534475988,30,10.840264137118561,local-street,0586,0586
"(10346638, 10346639)",Ausstellungsstraße,10346638,10346639,02,106.047623498629,50,7.635428891901289,main-street,0539,0539
"(10346075, 10346073)",Lazarettgasse,10346075,10346073,09,59.026212914562,50,4.249887329848463,main-street,1012,1254
"(10354012, 10354059)",Ebersberggasse,10354012,10354059,13,117.876590916242,30,14.14519090994904,local-street,0303,0303
"(10347232, 10345660)",Einfahrtstraße,10347232,10345660,14,90.074081110443,30,10.80888973325316,local-street,0032,1217
"(10342696, 10342695)",Billrothstraßenbrücke,10342696,10342695,19,20.030570508171,50,1.442201076588312,main-street,0600,0600
"(10349786, 10349896)",Getreidemarkt,10349786,10349896,01,59.378964197434,50,4.275285422215248,main-street,1110,1110
"(10341565, 10341576)",Salmannsdorfer Höhe,10341565,10341576,19,164.719899522035,30,19.7663879426442,local-street,0594,0594
"(10357337, 10357338)",Wettengelgasse,10357337,10357338,23,29.411905423894,30,3.5294286508672803,local-street,0869,0805
"(10340042, 10340040)",Grenzweg,10340042,10340040,21,286.882629638806,30,34.42591555665672,local-street,0910,0288
"(20043024, 20043021)",Hermann-Gebauer-Straße,20043024,20043021,22,15.549202025466,30,1.86590424305592,local-street,0529,0529
"(10344235, 10344236)",Oberfeldgasse,10344235,10344236,22,67.126473920329,30,8.055176870439482,local-street,0003,0003
"(10458606, 10353940)",Hermesstraße,10458606,10353940,13,92.415906466725,30,11.089908776007002,local-street,1318,1318
"(10346600, 10346590)",Vorgartenstraße,10346600,10346590,02,94.231494007527,50,6.784667568541945,main-street,1200,1200
"(10344906, 10344968)",Augasse,10344906,10344968,09,371.681215811355,50,26.76104753841756,main-street,0759,0782
"(10349630, 10349629)",Tannhäuserplatz,10349630,10349629,15,37.741137738425,30,4.528936528611001,local-street,0025,0025
"(10349606, 10349598)",Krebsengartengasse,10349606,10349598,15,111.398115060635,30,13.367773807276201,local-street,0024,1104
"(10357056, 10357078)",Oberlaaer Straße,10357056,10357078,10,119.762357516175,30,14.371482901941,local-street,1266,1266
"(10349636, 10349635)",Schanzstraße,10349636,10349635,14,80.162122865995,30,9.6194547439194,local-street,1095,1095
"(18814507, 10349238)",Karl-Toldt-Weg,18814507,10349238,14,121.082721776046,30,14.52992661312552,local-street,0131,0371
"(10349662, 10349661)",Unbenannte Verkehrsfläche,10349662,10349661,15,251.59240996473,30,30.191089195767596,local-street,1157,1157
"(10342253, 10342252)",Falcogasse,10342253,10342252,22,83.838521969995,30,10.0606226363994,local-street,0234,0234
"(10342446, 10342444)",Peter-Altenberg-Gasse,10342446,10342444,19,179.068304289685,30,21.488196514762198,local-street,0290,0099
"(10340101, 10340102)",Oellacherweg,10340101,10340102,21,33.889502092105,30,4.0667402510526,local-street,1059,1059
"(18899849, 20048421)",Unbenannte Verkehrsfläche,18899849,20048421,22,98.131705805247,30,11.77580469662964,local-street,0041,0041
"(10341630, 10341680)",Cobenzlgasse,10341630,10341680,19,238.867652240277,50,17.198470961299943,main-street,1134,1134
"(10350876, 10350875)",Cumberlandstraße,10350876,10350875,14,136.402835456261,30,16.368340254751317,local-street,0785,0785
"(10355101, 10355068)",Eberstorferweg,10355101,10355068,23,129.254088686728,30,15.510490642407364,local-street,0540,1275
"(10354471, 10354470)",Inzersdorfer Straße,10354471,10354470,10,48.65625,50,3.50325,main-street,0825,0825
"(10348837, 10348839)",Haengasse,10348837,10348839,22,68.113972462549,30,8.173676695505879,local-street,1212,1212
"(10351835, 10350656)",Testarellogasse,10351835,10350656,13,61.335203114633,50,4.416134624253576,main-street,0992,0992
"(10340048, 10340049)",Elfingerweg,10340048,10340049,22,150.223463511057,30,18.026815621326836,local-street,0878,0878
"(10349095, 10349097)",Unbenannte Verkehrsfläche,10349095,10349097,14,50.38675433293,30,6.046410519951601,local-street,0032,0032
"(10402418, 10402417)",Unbenannte Verkehrsfläche,10402418,10402417,03,117.062659469775,30,14.047519136373001,local-street,1327,1327
"(10348390, 10348395)",Kolonitzgasse,10348390,10348395,03,17.519973255991,30,2.1023967907189203,local-street,0871,0871
"(10341732, 10341763)",Amalgergasse,10341732,10341763,19,105.228490615009,30,12.62741887380108,local-street,0238,0158
"(10356661, 10356673)",Steinergasse,10356661,10356673,23,61.647724892914,30,7.397726987149681,local-street,0924,0924
"(10343688, 10343574)",Peter-Jordan-Straße,10343688,10343574,18,193.607511043599,50,13.93974079513913,main-street,0735,0735
"(10356365, 10356364)",Wendstattgasse,10356365,10356364,10,141.719439896957,30,17.00633278763484,local-street,0014,0014
"(10340462, 10340483)",Höhenstraße,10340462,10340483,19,29.423921405532,30,3.53087056866384,local-street,0163,0163
"(10347500, 10347499)",Huttengasse,10347500,10347499,16,146.828506604006,30,17.61942079248072,local-street,1278,1278
"(10399531, 18845366)",Neugrabenstraße,10399531,18845366,10,73.033348095798,30,8.76400177149576,local-street,1266,1266
"(10356742, 10356745)",An der Schloßmauer,10356742,10356745,23,163.883203015517,30,19.66598436186204,local-street,0417,0417
"(10342300, 10341458)",Hermann-Gebauer-Straße,10342300,10341458,22,367.985270495651,30,44.15823245947813,local-street,0003,0529
"(10349411, 10349412)",Breitenseer Straße,10349411,10349412,14,69.353376985736,50,4.993443142972993,main-street,0270,0270
"(10342144, 10342117)",Veterinärplatz,10342144,10342117,21,14.045345439526,30,1.6854414527431199,local-street,0981,0981
"(10353167, 10353221)",Rauchgasse,10353167,10353221,12,67.576173229009,30,8.10914078748108,local-street,0999,0999
"(10348927, 10348950)",Grossmannstraße,10348927,10348950,22,64.649789921654,30,7.757974790598482,local-street,0380,0380
"(10339716, 10339774)",Johann-Weber-Straße,10339716,10339774,21,40.792109536239,30,4.89505314434868,local-street,0007,0757
"(10353933, 10353936)",Lobgrundstraße,10353933,10353936,22,1115.4949891366,30,133.859398696392,local-street,0132,0132
"(10345275, 10345276)",Promenadestraße,10345275,10345276,22,141.404256140338,30,16.96851073684056,local-street,0051,0051
"(18810652, 10343863)",Leystraße,18810652,10343863,20,31.56691065853,30,3.7880292790235996,local-street,0974,0974
"(10347175, 10347110)",Lorenz-Stein-Straße,10347175,10347110,14,373.96046861988,30,44.875256234385596,local-street,0404,0404
"(10353972, 10353943)",Treumanngasse,10353972,10353943,13,82.886930731767,30,9.94643168781204,local-street,1037,1037
"(10348637, 10348650)",Trollblumengasse,10348637,10348650,22,206.159129078524,30,24.73909548942288,local-street,1310,1310
"(10344267, 10344301)",Breuergasse,10344267,10344301,22,51.854981886951,30,6.22259782643412,local-street,0223,0223
"(10355968, 10355974)",Gregorygasse,10355968,10355974,23,140.354603319063,30,16.84255239828756,local-street,0769,1096
"(10355230, 10355266)",Gutheil-Schoder-Brücke,10355230,10355266,23,95.259413350205,50,6.858677761214759,main-street,1048,1048
"(10352803, 10352802)",Faistauergasse,10352803,10352802,13,37.632562350332,30,4.51590748203984,local-street,0016,0016
"(10348957, 10348955)",Rosalia-Chladek-Gasse,10348957,10348955,22,192.82715328098,30,23.1392583937176,local-street,0380,0380
"(10354337, 10450121)",Gertrude-Wondrack-Platz,10354337,10450121,12,51.304973070472,30,6.156596768456641,local-street,0028,0028
"(10346192, 10346076)",Zimmermannplatz,10346192,10346076,09,32.30675061429,50,2.32608604422888,main-street,1012,1012
"(10344715, 10344781)",Gentzgasse,10344715,10344781,18,97.108715052062,50,6.991827483748464,main-street,0474,0474
"(10341458, 10341459)",Hermann-Gebauer-Straße,10341458,10341459,22,265.038885639219,30,31.804666276706282,local-street,0529,0529
"(10355695, 10355717)",Alberner Straße,10355695,10355717,11,329.322747509633,30,39.518729701155955,local-street,0728,0893
"(10344385, 10344384)",Schafflerhofstraße,10344385,10344384,22,29.917616578502,30,3.5901139894202396,local-street,1312,1312
"(18801871, 10339718)",Steinbügelweg,18801871,10339718,21,71.184232453707,30,8.54210789444484,local-street,0287,0287
"(10347735, 10347736)",Brestelgasse,10347735,10347736,16,56.460687244326,30,6.775282469319121,local-street,0209,0209
"(10340932, 10340909)",Doderergasse,10340932,10340909,21,278.128257121149,30,33.375390854537876,local-street,0760,0760
"(10357300, 10357303)",Anton-Freunschlag-Gasse,10357300,10357303,23,188.450424515309,30,22.61405094183708,local-street,0537,0537
"(10356575, 10356542)",Anton-Krieger-Gasse,10356575,10356542,23,82.470012601646,30,9.89640151219752,local-street,0368,0368
"(10350378, 18810737)",Rallenweg,10350378,18810737,22,149.654469378893,30,17.958536325467158,local-street,0789,0789
"(10343195, 10344213)",Riemenschneidergasse,10343195,10344213,22,67.176814918211,30,8.061217790185319,local-street,0936,0936
"(10344317, 10343318)",Schukowitzgasse,10344317,10343318,22,500.868658929752,30,60.10423907157025,local-street,0853,0853
"(20059000, 10351639)",Nottendorfer Gasse,20059000,10351639,03,178.70357396032,30,21.4444288752384,local-street,0928,0787
"(10349198, 10349200)",Niederpointenstraße,10349198,10349200,14,49.829734510694,30,5.979568141283281,local-street,0371,0371
"(10380424, 10343357)",Sofienalpenstraße,10380424,10343357,14,110.015657615608,30,13.201878913872962,local-street,0404,0404
"(10342927, 10342925)",Sportplatzbrücke,10342927,10342925,21,69.959693104933,30,8.39516317259196,local-street,0590,0590
"(18991948, 10354955)",Wittgensteinstraße,18991948,10354955,13,19.316737626708,30,2.3180085152049603,local-street,1005,1005
"(10348928, 10348926)",Grossmannstraße,10348928,10348926,22,20.213739779638,30,2.42564877355656,local-street,0380,0380
"(10344566, 10344564)",Schöberweg,10344566,10344564,17,51.324091355967,30,6.15889096271604,local-street,1132,1132
"(10343035, 10343036)",Cherubinistraße,10343035,10343036,22,69.44567870422,30,8.333481444506402,local-street,1175,1175
"(18810461, 10347123)",Hauptstraße,18810461,10347123,14,261.272435608241,30,31.352692272988925,local-street,1349,1349
"(10345857, 10346017)",Römergasse,10345857,10346017,16,148.186935314324,30,17.782432237718876,local-street,0611,0507
"(10342588, 10342583)",Krottenbachstraße,10342588,10342583,19,166.125809942356,50,11.961058315849632,main-street,0055,0055
"(10355521, 10355520)",Mannschildgasse,10355521,10355520,10,45.039390447635,30,5.4047268537162,local-street,1170,1170
"(10341158, 10341149)",Deublergasse,10341158,10341149,21,181.62707022677,30,21.7952484272124,local-street,0148,0148
"(10343684, 10343679)",Dänenstraße,10343684,10343679,19,101.055703391685,50,7.276010644201318,main-street,0500,0500
"(10343427, 10344450)",Brunnenstubengasse,10343427,10344450,17,167.065475232854,30,20.047857027942477,local-street,0710,0710
"(10355464, 10355465)",Weichselbaumgasse,10355464,10355465,10,114.467147421528,30,13.73605769058336,local-street,0756,0756
"(10351849, 10351856)",Bossigasse,10351849,10351856,13,154.124470928735,30,18.494936511448202,local-street,0925,0917
"(10341969, 20045103)",Angerer Straße,10341969,20045103,21,40.690448745562,50,2.9297123096804643,main-street,0530,0530
"(18823735, 18823740)",Neuwaldegger Straße,18823735,18823740,17,15.749993554886,50,1.133999535951792,main-street,0710,0710
