FID,OBJECTID,SE_ANNO_CAD_DATA,SHAPE,FEATURENAME,NEIGHBORNODE_OBJECTID,GIP_OBJECTID
STRASSENKNOTENOGD.3411601,3411601,,MULTIPOINT ((16.372722755273738 48.235246282320304)),Kreuzung zwischen Leipziger Straße und Hartlgasse,,10343867
STRASSENKNOTENOGD.3411602,3411602,,MULTIPOINT ((16.37404662843779 48.235269320178055)),Kreuzung zwischen Leipziger Straße und Dammstraße,,10343868
STRASSENKNOTENOGD.3411603,3411603,,MULTIPOINT ((16.375667085457113 48.23502778511152)),Kreuzung zwischen Nordwestbahnstraße und Leipziger Straße und Hellwagstraße und Pappenheimgasse,,10343869
STRASSENKNOTENOGD.3411604,3411604,,MULTIPOINT ((16.37800321356672 48.23623478403368)),Kreuzung zwischen Hellwagstraße und Universumstraße,,10343870
STRASSENKNOTENOGD.3411605,3411605,,MULTIPOINT ((16.37874043224947 48.23658524705346)),Kreuzung zwischen Hellwagstraße und Leithastraße,,10343871
STRASSENKNOTENOGD.3411606,3411606,,MULTIPOINT ((16.379524591691826 48.2369638614382)),Kreuzung zwischen Dresdner Straße und Hellwagstraße,,10343872
STRASSENKNOTENOGD.3411607,3411607,,MULTIPOINT ((16.38050729717216 48.23742944522301)),Kreuzung zwischen Hellwagstraße und Meldemannstraße,,10343873
STRASSENKNOTENOGD.3411608,3411608,,MULTIPOINT ((16.38141174740759 48.23786638567612)),Kreuzung zwischen Pasettistraße und Hellwagstraße,,10343874
STRASSENKNOTENOGD.3411609,3411609,,MULTIPOINT ((16.381741417253874 48.23804864862316)),Kreuzung zwischen Hellwagstraße und Durchlaufstraße,,10343875
STRASSENKNOTENOGD.3411610,3411610,,MULTIPOINT ((16.381752349551373 48.23756821186346)),Kreuzung zwischen Pasettistraße und Durchlaufstraße,,10343876
STRASSENKNOTENOGD.3411611,3411611,,MULTIPOINT ((16.379281451733423 48.2354840134008)),Kreuzung zwischen Universumstraße und Kampstraße,,10343877
STRASSENKNOTENOGD.3411612,3411612,,MULTIPOINT ((16.380506354629837 48.23609669928074)),Kreuzung zwischen Dresdner Straße und Kampstraße,,10343878
STRASSENKNOTENOGD.3411613,3411613,,MULTIPOINT ((16.381818091784158 48.236751633380145)),Kreuzung zwischen Durchlaufstraße und Kampstraße,,10343879
STRASSENKNOTENOGD.3411614,3411614,,MULTIPOINT ((16.382360406673293 48.23704313273004)),Kreuzung zwischen Pasettistraße und Allerheiligengasse,,10343880
STRASSENKNOTENOGD.3411615,3411615,,MULTIPOINT ((16.380503520583385 48.23476521819913)),Kreuzung zwischen Donaueschingenstraße und Universumstraße,,10343881
STRASSENKNOTENOGD.3411616,3411616,,MULTIPOINT ((16.38146832685222 48.23524316647277)),Kreuzung zwischen Dresdner Straße und Donaueschingenstraße,,10343882
STRASSENKNOTENOGD.3412342,3412342,,MULTIPOINT ((16.32206392577127 48.23202065511398)),Kreuzung zwischen Herbeckstraße und Schalkgasse,,10344658
STRASSENKNOTENOGD.3412343,3412343,,MULTIPOINT ((16.322895889367086 48.2319027894081)),Kreuzung zwischen Herbeckstraße und Witthauergasse,,10344659
STRASSENKNOTENOGD.3412344,3412344,,MULTIPOINT ((16.32439175344123 48.23168592027042)),Kreuzung zwischen Herbeckstraße und Alsegger Straße,,10344660
STRASSENKNOTENOGD.3412345,3412345,,MULTIPOINT ((16.32601296022256 48.231448106630666)),Kreuzung zwischen Herbeckstraße und Schöffelgasse,,10344661
STRASSENKNOTENOGD.3412346,3412346,,MULTIPOINT ((16.327337592103646 48.23125879662881)),Kreuzung zwischen Herbeckstraße und Salierigasse,,10344662
STRASSENKNOTENOGD.3412347,3412347,,MULTIPOINT ((16.327110037815167 48.230597358172936)),Kreuzung zwischen Thimiggasse und Salierigasse,,10344663
STRASSENKNOTENOGD.3412348,3412348,,MULTIPOINT ((16.325785210654317 48.23078757926449)),Kreuzung zwischen Thimiggasse und Schöffelgasse,,10344664
STRASSENKNOTENOGD.3412349,3412349,,MULTIPOINT ((16.32416539090069 48.23102693579235)),Kreuzung zwischen Alsegger Straße und Thimiggasse,,10344665
STRASSENKNOTENOGD.3412350,3412350,,MULTIPOINT ((16.322661551381092 48.23124710247307)),Kreuzung zwischen Thimiggasse und Witthauergasse,,10344666
STRASSENKNOTENOGD.3412351,3412351,,MULTIPOINT ((16.32179016151224 48.231368967149926)),Kreuzung zwischen Thimiggasse und Schalkgasse,,10344667
STRASSENKNOTENOGD.3412352,3412352,,MULTIPOINT ((16.32085009457089 48.23150423574238)),Kreuzung zwischen Thimiggasse und Messerschmidtgasse,,10344668
STRASSENKNOTENOGD.3412353,3412353,,MULTIPOINT ((16.31955277568568 48.23168701063888)),Kreuzung zwischen Thimiggasse und Erndtgasse,,10344669
STRASSENKNOTENOGD.3412354,3412354,,MULTIPOINT ((16.31828545165763 48.231775910103266)),Kreuzung zwischen Thimiggasse und Friedrich-Wagner-Gasse,,10344670
STRASSENKNOTENOGD.3412355,3412355,,MULTIPOINT ((16.317470859302126 48.2318140018201)),Kreuzung zwischen Scheibenbergstraße und Thimiggasse und Möhnergasse,,10344671
STRASSENKNOTENOGD.3412356,3412356,,MULTIPOINT ((16.317335370729495 48.231352657323846)),Kreuzung auf Möhnergasse,,10344672
STRASSENKNOTENOGD.3412357,3412357,,MULTIPOINT ((16.32155151579993 48.23076358342975)),Kreuzung zwischen Schindlergasse und Krenngasse,,10344673
STRASSENKNOTENOGD.3412358,3412358,,MULTIPOINT ((16.322447398822504 48.23063273028167)),Kreuzung zwischen Schindlergasse und Ruhrhofergasse,,10344674
STRASSENKNOTENOGD.3412359,3412359,,MULTIPOINT ((16.323953535227016 48.23041193440137)),Kreuzung zwischen Alsegger Straße und Schindlergasse,,10344675
STRASSENKNOTENOGD.3412360,3412360,,MULTIPOINT ((16.325568287685137 48.23017890347653)),Kreuzung zwischen Schöffelgasse und Schindlergasse,,10344676
STRASSENKNOTENOGD.3412361,3412361,,MULTIPOINT ((16.326902144934493 48.2299824326278)),Kreuzung zwischen Schindlergasse und Salierigasse,,10344677
STRASSENKNOTENOGD.3412362,3412362,,MULTIPOINT ((16.326664197002657 48.229286425194594)),Kreuzung zwischen Scheidlstraße und Salierigasse,,10344678
STRASSENKNOTENOGD.3412363,3412363,,MULTIPOINT ((16.32531794787818 48.22948415658351)),Kreuzung zwischen Schöffelgasse und Scheidlstraße,,10344679
STRASSENKNOTENOGD.3412364,3412364,,MULTIPOINT ((16.323713521564827 48.22971556906008)),Kreuzung zwischen Alsegger Straße und Scheidlstraße,,10344680
STRASSENKNOTENOGD.3412365,3412365,,MULTIPOINT ((16.322193944728188 48.22994022456608)),Kreuzung zwischen Scheidlstraße und Ruhrhofergasse,,10344681
STRASSENKNOTENOGD.3412366,3412366,,MULTIPOINT ((16.321305852880258 48.23007192032027)),Kreuzung zwischen Scheidlstraße und Krenngasse,,10344682
STRASSENKNOTENOGD.3412367,3412367,,MULTIPOINT ((16.321201912304108 48.230950568928264)),Kreuzung zwischen Schindlergasse und Unbenannte Verkehrsfläche,,10344683
STRASSENKNOTENOGD.3412368,3412368,,MULTIPOINT ((16.32105115692771 48.229370839551116)),Kreuzung zwischen Czartoryskigasse und Krenngasse,,10344684
STRASSENKNOTENOGD.3412369,3412369,,MULTIPOINT ((16.321962370582067 48.229240343794665)),Kreuzung zwischen Czartoryskigasse und Ruhrhofergasse,,10344685
STRASSENKNOTENOGD.3412370,3412370,,MULTIPOINT ((16.323477933214335 48.22901407480517)),Kreuzung zwischen Czartoryskigasse und Alsegger Straße,,10344686
STRASSENKNOTENOGD.3412371,3412371,,MULTIPOINT ((16.32508181335042 48.22877816894217)),Kreuzung zwischen Czartoryskigasse und Schöffelgasse,,10344687
STRASSENKNOTENOGD.3412372,3412372,,MULTIPOINT ((16.32477032881988 48.22790186479231)),Kreuzung zwischen Schöffelgasse und Wielemansgasse,,10344688
STRASSENKNOTENOGD.3412373,3412373,,MULTIPOINT ((16.323208402643463 48.22824540874452)),Kreuzung zwischen Alsegger Straße und Wielemansgasse,,10344689
STRASSENKNOTENOGD.3412374,3412374,,MULTIPOINT ((16.32184836948163 48.22890912768988)),Kreuzung zwischen Ruhrhofergasse und Gillingerweg,,10344690
STRASSENKNOTENOGD.3412375,3412375,,MULTIPOINT ((16.321819593369483 48.23367965648223)),Kreuzung zwischen Ferrogasse und Messerschmidtgasse,,10344691
STRASSENKNOTENOGD.3412376,3412376,,MULTIPOINT ((16.318809290515798 48.23136848658813)),Kreuzung zwischen Möhnergasse und Unbenannte Verkehrsfläche,,10344692
STRASSENKNOTENOGD.3412377,3412377,,MULTIPOINT ((16.31668930774531 48.2254158512531)),Kreuzung zwischen Leopold-Kunschak-Platz und Alszeile und Heigerleinstraße,,10344693
STRASSENKNOTENOGD.3412378,3412378,,MULTIPOINT ((16.31556020886283 48.23149729838413)),Kreuzung zwischen Möhnergasse und Unbenannte Verkehrsfläche,,10344694
