,coefs
0132,0.1549030819784833
0133,0.1166418632784032
0134,0.14489160865221656
0135,0.0996405261193599
0136,0.09670579542258646
0137,0.17944049662892608
0138,0.1403300115791867
0139,0.1834023011019164
0140,0.0642026557221349
0141,0.14314892763342932
0142,0.15582610131808391
0143,0.22916359036004857
0144,0.09576795640386261
0145,0.2667801993199497
0146,0.10718336894344754
0147,0.107362135065442
0148,0.16228728669053227
0149,0.08495564483936072
0150,0.0927939651399096
0151,0.03
0152,0.12419407962023815
0153,0.041465687498213784
0154,0.2600049921474554
0155,0.19225463929210684
0156,0.10173387584970091
0157,0.24625189053232507
0158,0.13950940282852392
0159,0.1795675773411082
0160,0.03
0161,0.03333941393907794
0162,0.14941548122581463
0163,0.20083426810963179
0164,0.1994310747059662
0165,0.18624402038370194
0166,0.23855576965971445
0167,0.10844836071121679
0168,0.19707434467845877
0169,0.23229720161540576
0170,0.0787535637987759
0171,0.1309147653467487
0172,0.12431847022520606
0173,0.16183134633283583
0174,0.03
0175,0.06238169016789492
0176,0.14583571041898763
0177,0.11598315702011051
0178,0.11155561310580034
0179,0.13336039858363039
0180,0.10112735216358197
0181,0.23123837400350392
0182,0.10569132493441039
0183,0.21187143070593734
0184,0.07623194571142242
0185,0.14284297136891172
0186,0.16584173660259385
0187,0.11929447749887788
0188,0.16250958553120262
0189,0.21366978130500847
0190,0.056189723977990574
0191,0.09566892496266906
0192,0.1802087379289611
0193,0.21528872479715644
0194,0.25034354738195386
0195,0.12150579998721121
0196,0.0763374003373575
0197,0.09051837321687253
0198,0.10224373278215597
0199,0.2043942074856783
0200,0.1551232664234419
0201,0.1514449418168673
0202,0.1858249999396117
0203,0.09339593857496647
0204,0.13087763155969645
0205,0.08305586637044732
0206,0.21127065556826188
0207,0.16519919465853522
0208,0.20516350986495388
0209,0.18781584656540468
0210,0.09388439322261781
0211,0.15663266714841342
0212,0.21578249839720814
0213,0.10878344639046995
0214,0.1671063174892829
0215,0.2576956010767284
0216,0.1984586867406963
0217,0.1863945816497406
0218,0.13067721891514641
0219,0.11777925931197836
0220,0.11593502166361411
0221,0.26827084761042325
0222,0.03
0223,0.1417605654187843
0224,0.16720810760334343
0225,0.2164761026160602
0226,0.18114182761750663
0227,0.12707212145377858
0228,0.18288413932560244
0229,0.19833479778758395
0230,0.17087167163389766
0231,0.22250747064480667
0232,0.1944039805650762
0233,0.11325508763646397
0234,0.07022120288118351
0235,0.10709245537053323
0236,0.2081822349026228
0237,0.04722037265625651
0238,0.12858960192719118
0239,0.14296422511106444
0240,0.0710264935075796
0241,0.17035384253842836
0242,0.14560509408952232
0243,0.0811543293152067
0244,0.08693608624692734
0245,0.2352740053416909
0246,0.10052398070437528
0247,0.12879034001719336
0248,0.1329857955150378
0249,0.15734745838718475
0250,0.1705833156886216
0251,0.11399217274933787
0252,0.1050410821362195
0253,0.03
0254,0.17537810336594828
0255,0.18183621335842332
0256,0.25341851757783385
0257,0.031633592626574294
0258,0.1353694585759676
0259,0.18600233216946704
0260,0.11690407710068663
0261,0.22860031119472546
0262,0.19574101208479205
0263,0.07297200447228203
0264,0.1242460192539411
