,coefs
0128,0.08899789539797134
0129,0.1856434012675133
0130,0.20558986806990276
0131,0.12132149144512659
0132,0.223974400746685
0133,0.26457038898892865
0134,0.1881296149624858
0135,0.06084908175761114
0136,0.0836584285333805
0137,0.2521241530571768
0138,0.18231021590621171
0139,0.18561884177805385
0140,0.0964426188108681
0141,0.19156893481481493
0142,0.22922223860684496
0143,0.17682834148187984
0144,0.18877356671009493
0145,0.2034490046255911
0146,0.1460844011439829
0147,0.1064592576968074
0148,0.20138032798772276
0149,0.21367625650845773
0150,0.12847290050930216
0151,0.03
0152,0.20094027047078733
0153,0.03
0154,0.2697175965931874
0155,0.24070687533589863
0156,0.07357497761557912
0157,0.22811738427550687
0158,0.171658701814399
0159,0.23032973899505568
0160,0.03
0161,0.10638304505534418
0162,0.15362194117313377
0163,0.10333673577680774
0164,0.22916193038841018
0165,0.2231129287427791
0166,0.1748311229815802
0167,0.12916317525513193
0168,0.2179521415421033
0169,0.20978593743414123
0170,0.07396825339289262
0171,0.1620784032827552
0172,0.1713794055216988
0173,0.25041240671121195
0174,0.03328929571807035
0175,0.032008987262812025
0176,0.2225645109448285
0177,0.22877915321981301
0178,0.22785622353523427
0179,0.2259638260077468
0180,0.16790769617442017
0181,0.18823382496181093
0182,0.21979528151957056
0183,0.2755302556061273
0184,0.03
0185,0.10068855257808138
0186,0.23047265152033583
0187,0.08460585170726048
0188,0.2084560633179584
0189,0.1461904441621531
0190,0.13122134325124665
0191,0.23996166724541274
0192,0.186826430714598
0193,0.20668866879515815
0194,0.2035177698389728
0195,0.09714520106908789
0196,0.13430277557814738
0197,0.03916822380501062
0198,0.2531066522491914
0199,0.2266926705271934
0200,0.20566452809950564
0201,0.20245271537251192
0202,0.21346230516861256
0203,0.11236964733749101
0204,0.16386346363932353
0205,0.049133663793994475
0206,0.25352092538404947
0207,0.31752548047507895
0208,0.3031138019200233
0209,0.22243698794110847
0210,0.12000848657037437
0211,0.16115068046334344
0212,0.17707060664356367
0213,0.13060472139373155
0214,0.14311611416855857
0215,0.23918763321469041
0216,0.27455124613374804
0217,0.22127211146548725
0218,0.21228255641554492
0219,0.1608668676318832
0220,0.114227539848091
0221,0.20568728947439882
0222,0.03
0223,0.20404960749665815
0224,0.1243555167233968
0225,0.09708984751798276
0226,0.22074162754612808
0227,0.230658037496731
0228,0.3803384144727898
0229,0.24429628562886238
0230,0.19062852146994194
0231,0.253715622252978
0232,0.20796397371213377
0233,0.1979915363097879
0234,0.09846581580253899
0235,0.06159461116950338
0236,0.24201459175932666
0237,0.03
0238,0.16418604645109303
0239,0.2153370713206699
0240,0.03
0241,0.21627141344509182
0242,0.18413748343725822
0243,0.1337788067565575
0244,0.12680548410599346
0245,0.27363042325591824
0246,0.1562006522563482
0247,0.11442365950226557
0248,0.15902556629140766
0249,0.147529059107842
0250,0.23807659384080215
0251,0.1735513419007502
0252,0.15147320681801665
0253,0.03
0254,0.1761523206855245
0255,0.24060482362170266
0256,0.21739983156869855
0257,0.07932056031334528
0258,0.228015507919831
0259,0.2829263311043257
0260,0.153444939723269
0261,0.2934567682828823
0262,0.2136016254723578
0263,0.14694259172384022
0264,0.3179909828043405
0265,0.19243005299769086
0266,0.09693048280030564
0267,0.18547602350761794
0268,0.16260590263201344
0269,0.22414289859584197
0270,0.19383345511773256
0271,0.18722926482928146
0272,0.07294627170687476
0273,0.09772893645976885
0274,0.04680588264630277
0275,0.19258878679291785
0276,0.2047531665703638
